Context,Location,,,SpaCy most recent GPE named entity (original case),Truecased (originally lowercase) SpaCy most recent GPE named entity,Truecased (originally lowercase)  NER recognition - xx_ent_wiki_sm,Two most frequent GPEs,Two most frequent LOCs,,"All LOCs, no punctuation"
"Are you excited? Yeah, totally! Joe and I have been planning that trip for ages. Can you believe I've never been to Yosemite even though I've lived in California for more than 5 years? Yeah, wow, that's a long time. Have you packed yet? Nah, not really. I guess I'm not really sure what I should bring. Uh, well, it depends.",Yosemite,,,California,California,California,"[('California', 1), ('Yosemite', 1)]","[('California', 1), ('Yosemite', 1)]",,"[('Yeah', 1), ('Yosemite', 1), ('California', 1)]"
"I've been packing for our trip. Oh, thanks for doing that! Yeah, no problem. The thing is, I haven't figured out which jacket I should bring. What do you mean? Well, I've got two options. The warm one I wear if it's below 50 degrees. I've also got the lighter one. Oh, okay. So which one should I bring? I don't know. Have you tried looking up the weather in Seattle? No, not yet. Okay.",Seattle,,,Seattle,Seattle,Okay,"[('Seattle', 1)]","[('Okay', 1), ('Seattle', 1)]",,"[('Seattle', 1)]"
"I need to know whether to bring an umbrella today. Are you going anywhere? No, just staying in New York City.",New York City,,,New York City,New York City,New York City,"[('New York City', 1)]","[('New York City', 1)]",,"[('New York City', 1)]"
"Have you finished loading the car? We need to leave soon if we want to make it to Los Angeles before dinner. Sorry, I'm still figuring out which clothes to bring with me. How come? Well, obviously I need to know what to wear.",Los Angeles,,,Los Angeles,Los Angeles,Los Angeles,"[('Los Angeles', 1)]","[('Los Angeles', 1)]",,"[('Los Angeles', 1)]"
"Did you hear about what's happening in Texas? Yeah, I can't believe it. I'm glad it hasn't been that bad in California. Same, same. Do you know if it's gotten any better since last week? No, I'm not sure, let's check.",California,,,California,California,California,"[('California', 1), ('Texas', 1)]","[('California', 1), ('Texas', 1)]",,"[('Texas Yeah I', 1), ('California', 1)]"
"I've always loved winter. Why? Well, growing up in Wisconsin, that's when it would be the most beautiful. It would snow a lot, and we'd go outside and play. I wonder if it's still the same there now.",Wisconsin,,,Wisconsin,Wisconsin,Wisconsin,"[('Wisconsin', 1)]","[('Wisconsin', 1)]",,"[('Wisconsin Thats', 1)]"
"The Tour de France starts in Brest on June 26 and ends in Paris three weeks later, July 18. I'm going to be at the finish line, cheering for my favorite. Will you also be in Brest? No, Brittany is too out of the way for me, and I have to fly through CDG, so I don't want to go all the way out and then back again. Plus, I don't have that much vacation time.",Paris,,,Brest,Paris,Brittany,"[('Paris', 1), ('France', 1)]","[('Brest', 2), ('Brittany', 1)]",,"[('de France', 1), ('Brest', 2), ('Paris', 1), ('Brittany', 1)]"
"Okay, let your parents know, we'll be arriving in Larnaca on May 18th. Sure, I'm talking to them tonight. Did you see May 19th? No, the 18th. Yeah, okay that makes sense, it's a Sunday.",Laranaca,,,Larnaca,Larnaca,Larnaca,"[('Larnaca', 1)]","[('Larnaca', 1), ('Okay', 1)]",,"[('Larnaca', 1), ('18th Yeah', 1)]"
"How much are tickets to Las Vegas? Only $150! That's pretty cheap! Yeah, I was thinking that too. Do you think it's worth going? It depends on the dates for me. I was looking the 24th or the 31st. I think those would work. I prefer the first one, though. Should be doable. Do you want to go anywhere else? Maybe.",Las Vegas,,,Las Vegas,Las Vegas,Las Vegas,"[('Las Vegas', 1)]","[('Las Vegas', 1)]",,"[('Las Vegas', 1), ('Thats', 1)]"
"I just heard from my sister in Kyoto, she says the cherries are starting to bloom! Wait, already? I know, I was surprised, I thought it wasn't going to happen for another month or so. Do you think they're extra early this year? I wonder, I should ask.",Kyoto,,,Kyoto,Kyoto,Kyoto,"[('Kyoto', 1)]","[('Kyoto', 1)]",,"[('Kyoto', 1)]"
"The ice in Texas has been freezing everything important. Do you know if we can find a good heat source to survive the winter? I'm starting to lose some hope. Hopefully, after March 16th the weather will improve and the heat will melt everything away",Texas,,,Texas,Texas,Texas,"[('Texas', 1)]","[('Texas', 1)]",,"[('Texas', 1)]"
The heat wave is killing me. The fans are constantly running. The AC is running it at full power. Hopefully the heat wave over San Jose stops over the next week,San Jose,,,San Jose,San Jose,San Jose,"[('San Jose', 1)]","[('San Jose', 1)]",,"[('San Jose', 1)]"
Do you like the flowers that bloom in the spring? It looks way better here than anywhere else in the world. The Ohio soil is filled with great nutrients that allow these plants to bloom in the humid enviornment,Ohio,,,Ohio,Ohio,Ohio,"[('Ohio', 1)]","[('Ohio', 1)]",,"[('Ohio', 1)]"
"The incoming storm has been destroying everything in its path. We should get out of Florida before it heads in this direction. We should be able to pack up and move to the house in the west. Hopefully, they have better weather there.",Florida,,,Florida,Florida,West,"[('Florida', 1)]","[('West', 1), ('Florida', 1)]",,"[('Florida', 1)]"
